#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0048518	Positive regulation of biological process	39	5869	0.53	4.77e-16	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000043909,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000122403,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Mybl2,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Kdm2b,Cnot3,Nfya,Pbx3,Mycn,Klf1,Taf7,Egr1,Foxm1,Zfp42,Pml,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Brd4,Nfyb,Tbp,Usf1,Sin3a,Nelfe
GO:0048522	Positive regulation of cellular process	38	5407	0.56	5.17e-16	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000043909,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000122403,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Mybl2,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Kdm2b,Nfya,Pbx3,Mycn,Klf1,Taf7,Egr1,Foxm1,Zfp42,Pml,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Brd4,Nfyb,Tbp,Usf1,Sin3a,Nelfe
GO:0006351	Transcription, dna-templated	16	350	1.37	1.20e-15	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000022971,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000076208,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000110795,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729	Hoxc9,Spi1,Stat5a,Myc,Pou5f1,Xrn2,Taf7,Egr1,Ttf2,Taf1,E2f1,Tcf3,Klf4,Zbtb33,Tbp,Usf1
GO:0065009	Regulation of molecular function	35	4379	0.61	2.14e-15	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000043909,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000122403,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Mybl2,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nfya,Pbx3,Mycn,Klf1,Taf7,Egr1,Foxm1,Zfp42,Pml,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Brd4,Nfyb,Tbp,Usf1,Sin3a
GO:0031324	Negative regulation of cellular metabolic process	28	2497	0.76	2.60e-14	10090.ENSMUSP00000002180,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000045993,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000110795,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Spi1,Nanog,E2f4,Brca1,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Kdm2b,Cnot3,Mycn,Taf7,Egr1,Foxm1,Pml,Sox2,Taf1,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Zbtb33,Sin3a,Nelfe
GO:0051172	Negative regulation of nitrogen compound metabolic process	27	2310	0.78	4.98e-14	10090.ENSMUSP00000002180,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000110795,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Spi1,Nanog,E2f4,Brca1,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Kdm2b,Cnot3,Taf7,Egr1,Foxm1,Pml,Sox2,Taf1,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Zbtb33,Sin3a,Nelfe
GO:0006366	Transcription by rna polymerase ii	11	200	1.45	4.88e-11	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000022971,10090.ENSMUSP00000025271,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000098895,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729	Spi1,Stat5a,Myc,Pou5f1,Taf7,Egr1,Taf1,Tcf3,Klf4,Tbp,Usf1
GO:0048513	Animal organ development	27	3230	0.63	1.69e-10	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000038229,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000085423,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000107641,10090.ENSMUSP00000130221	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Hdac2,Myc,Runx1,Pou5f1,Xrn2,Kdm2b,Pbx3,Mycn,Klf1,Egr1,Foxm1,Pml,Zfx,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Atf2,Sin3a
GO:0071310	Cellular response to organic substance	22	1987	0.75	3.81e-10	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000122403,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221	Spi1,Stat5a,Nanog,Brca1,Mybl2,Hdac2,Myc,Runx1,Pou5f1,Taf7,Egr1,Zfp42,Pml,Taf1,Kat2a,E2f1,Klf4,Max,Nr1h3,Nfyb,Usf1,Sin3a
GO:0009790	Embryo development	18	1165	0.9	4.14e-10	10090.ENSMUSP00000001706,10090.ENSMUSP00000012540,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000080765,10090.ENSMUSP00000096755,10090.ENSMUSP00000099407,10090.ENSMUSP00000100979,10090.ENSMUSP00000113070,10090.ENSMUSP00000130221	Hoxc9,Nanog,Brca1,Hdac2,Myc,Runx1,Pou5f1,Kdm2b,Cnot3,Pbx3,Mycn,Klf1,Zfp42,Sox2,Kat2a,Tcf3,Brd4,Sin3a
GO:0032502	Developmental process	33	5629	0.48	6.68e-10	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000085423,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000124317,10090.ENSMUSP00000130221	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Hdac2,Myc,Runx1,Pou5f1,Xrn2,Kdm2b,Cnot3,Pbx3,Mycn,Klf1,Egr1,Foxm1,Zfp42,Pml,Zfx,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Brd4,Tbp,Sin3a
