NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_HEME_METABOLISM	200	169		
HALLMARK_COAGULATION	138	112		
HALLMARK_IL2_STAT5_SIGNALING	199	187		
HALLMARK_BILE_ACID_METABOLISM	112	101		
HALLMARK_PEROXISOME	104	94		
HALLMARK_ALLOGRAFT_REJECTION	200	155		
HALLMARK_SPERMATOGENESIS	135	107		
HALLMARK_KRAS_SIGNALING_UP	200	186		
HALLMARK_KRAS_SIGNALING_DN	200	153		
HALLMARK_PANCREAS_BETA_CELLS	40	28		
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	21	19		
GOBP_REPRODUCTION	1442		Rejected!	
GOBP_SINGLE_STRAND_BREAK_REPAIR	12		Rejected!	
GOBP_REGULATION_OF_DNA_RECOMBINATION	104	83		
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	6		Rejected!	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	28	26		
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	21	18		
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	34	28		
GOBP_TRANSITION_METAL_ION_TRANSPORT	127	110		
GOBP_UREA_CYCLE	11		Rejected!	
GOBP_CITRULLINE_METABOLIC_PROCESS	8		Rejected!	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	7		Rejected!	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	8		Rejected!	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	164	149		
GOBP_CELL_CYCLE_CHECKPOINT	209	193		
GOBP_DNA_REPLICATION_CHECKPOINT	17	15		
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	35	34		
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	37	35		
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	17	16		
GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	14		Rejected!	
GOBP_SULFUR_AMINO_ACID_TRANSPORT	6		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	872		Rejected!	
GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_ORIENTATION	28	26		
GOBP_RRNA_MODIFICATION	40	37		
GOBP_MAPK_CASCADE	912		Rejected!	
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	39		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	120	118		
GOBP_ACTIVATION_OF_MAPKKK_ACTIVITY	12		Rejected!	
GOBP_ACTIVATION_OF_MAPKK_ACTIVITY	51	48		
GOBP_ACTIVATION_OF_MAPK_ACTIVITY	154	141		
GOBP_INACTIVATION_OF_MAPK_ACTIVITY	26	24		
GOBP_PROTEIN_POLYUBIQUITINATION	337	307		
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	12		Rejected!	
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	589		Rejected!	
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	25		Rejected!	
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	78	57		
GOBP_MITOCHONDRIAL_FISSION	42	37		
GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS	6		Rejected!	
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	78	72		
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	27	23		
GOBP_MITOTIC_CELL_CYCLE	1032		Rejected!	
GOBP_MITOTIC_CYTOKINESIS	70	63		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	77	73		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	35	33		
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	10		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	35	34		
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	224	190		
GOBP_RESPONSE_TO_OXYGEN_RADICAL	29	24		
GOBP_PROTEIN_DENEDDYLATION	10		Rejected!	
GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP	10		Rejected!	
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	384	332		
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	73	68		
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	57	54		
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	52	38		
GOBP_MRNA_3_SPLICE_SITE_RECOGNITION	6		Rejected!	
GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	6		Rejected!	
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	16	15		
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	23		Rejected!	
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	43	35		
GOBP_REGULATION_OF_HISTONE_H3_K36_METHYLATION	7		Rejected!	
GOBP_AUTOPHAGY_OF_MITOCHONDRION	75	70		
GOBP_MITOPHAGY	24	23		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	9		Rejected!	
GOBP_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS	6		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA	35	35		
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	37	36		
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	15	15		
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	24	24		
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	27	27		
GOBP_MATURATION_OF_LSU_RRNA	28	28		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	15	15		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	7		Rejected!	
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	10		Rejected!	
GOBP_BOX_C_D_SNORNP_ASSEMBLY	8		Rejected!	
GOBP_EMBRYONIC_AXIS_SPECIFICATION	36	29		
GOBP_MEIOTIC_MISMATCH_REPAIR	5		Rejected!	
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	18	17		
GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_DAMAGE_RECOGNITION	23	23		
GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_DUPLEX_UNWINDING	22	22		
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	15	15		
GOBP_RECOMBINATIONAL_REPAIR	140	128		
GOBP_NON_RECOMBINATIONAL_REPAIR	106	86		
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	12		Rejected!	
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	25	21		
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	53	49		
GOBP_DNA_STRAND_RENATURATION	8		Rejected!	
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	31	26		
GOBP_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	8		Rejected!	
GOBP_SISTER_CHROMATID_SEGREGATION	199	174		
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	8		Rejected!	
GOBP_CELL_MORPHOGENESIS	1004		Rejected!	
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	723		Rejected!	
GOBP_CYTOKINESIS	171	136		
GOBP_ASSEMBLY_OF_ACTOMYOSIN_APPARATUS_INVOLVED_IN_CYTOKINESIS	5		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	208	202		
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	6		Rejected!	
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	47	43		
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	5		Rejected!	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	17	16		
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	5		Rejected!	
GOBP_RNA_5_END_PROCESSING	23	23		
GOBP_RRNA_5_END_PROCESSING	5		Rejected!	
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	6		Rejected!	
GOBP_RESPONSE_TO_ACID_CHEMICAL	119	106		
GOBP_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	9		Rejected!	
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	15		Rejected!	
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	485	419		
GOBP_OSSIFICATION	399	356		
GOBP_NEUROTRANSMITTER_UPTAKE	38	30		
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	211	181		
GOBP_ACTION_POTENTIAL	135	113		
GOBP_RNA_METHYLATION	84	78		
GOBP_PSEUDOURIDINE_SYNTHESIS	18	18		
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	127	83		
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	53	43		
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	6		Rejected!	
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	7		Rejected!	
GOBP_LUTEINIZATION	10		Rejected!	
GOBP_LUTEOLYSIS	7		Rejected!	
GOBP_OOCYTE_MATURATION	24	22		
GOBP_FATTY_ACID_ALPHA_OXIDATION	9		Rejected!	
GOBP_RESPONSE_TO_PROTOZOAN	25	16		
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	34	31		
GOBP_VASCULOGENESIS	78	72		
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	25	23		
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	15	15		
GOBP_MICROTUBULE_BUNDLE_FORMATION	107	84		
GOBP_OSTEOBLAST_DIFFERENTIATION	222	192		
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	320	285		
GOBP_METANEPHROS_DEVELOPMENT	82	74		
GOBP_TEMPERATURE_HOMEOSTASIS	171	151		
GOBP_FEVER_GENERATION	10		Rejected!	
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	473	374		
GOBP_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	25	23		
GOBP_ACROSOME_ASSEMBLY	16		Rejected!	
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	120	81		
GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS	145	122		
GOBP_TRNA_5_LEADER_REMOVAL	13		Rejected!	
GOBP_HISTAMINE_METABOLIC_PROCESS	6		Rejected!	
GOBP_GASTRIC_ACID_SECRETION	17		Rejected!	
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	335	302		
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	23	18		
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER	115	98		
GOBP_ENDODERM_FORMATION	53	49		
GOBP_CELL_FATE_SPECIFICATION	88	65		
GOBP_CELL_FATE_DETERMINATION	41	29		
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	16		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_COMMITMENT	13		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_SPECIFICATION	7		Rejected!	
GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	11		Rejected!	
GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	16		Rejected!	
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	144	138		
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	43	36		
GOBP_NEURAL_CREST_CELL_MIGRATION	55	51		
GOBP_SOMITOGENESIS	65	57		
GOBP_SOMITE_SPECIFICATION	5		Rejected!	
GOBP_ORGAN_INDUCTION	21	19		
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	186	166		
GOBP_NEURON_MIGRATION	145	122		
GOBP_MEMBRANE_RAFT_ASSEMBLY	11		Rejected!	
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	13		Rejected!	
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	13		Rejected!	
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION	29	23		
GOBP_MICROGLIAL_CELL_ACTIVATION	47	37		
GOBP_CELL_ACTIVATION	1461		Rejected!	
GOBP_LEUKOCYTE_HOMEOSTASIS	79	70		
GOBP_PLASMA_MEMBRANE_REPAIR	12		Rejected!	
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION	18	15		
GOBP_NEUTROPHIL_HOMEOSTASIS	14		Rejected!	
GOBP_NEUTROPHIL_APOPTOTIC_PROCESS	7		Rejected!	
GOBP_B_CELL_HOMEOSTASIS	28	28		
GOBP_B_CELL_APOPTOTIC_PROCESS	25	23		
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	11		Rejected!	
GOBP_CYTOKINE_PRODUCTION	823		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	367	231		
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	437	346		
GOBP_SEROTONIN_SECRETION	10		Rejected!	
GOBP_HISTAMINE_SECRETION	11		Rejected!	
GOBP_MESONEPHROS_DEVELOPMENT	91	84		
GOBP_BLASTOCYST_DEVELOPMENT	92	77		
GOBP_BLASTOCYST_FORMATION	35	30		
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION	6		Rejected!	
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	16		Rejected!	
GOBP_BLASTOCYST_GROWTH	19	17		
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	13		Rejected!	
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	55	52		
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	153	137		
GOBP_NEURAL_PLATE_MORPHOGENESIS	5		Rejected!	
GOBP_NEURAL_PLATE_DEVELOPMENT	7		Rejected!	
GOBP_NEURAL_TUBE_FORMATION	96	93		
GOBP_NEURAL_FOLD_FORMATION	7		Rejected!	
GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	30	26		
GOBP_PHAGOLYSOSOME_ASSEMBLY	15		Rejected!	
GOBP_NK_T_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_NK_T_CELL_PROLIFERATION	7		Rejected!	
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	12		Rejected!	
GOBP_RECEPTOR_RECYCLING	32	30		
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	66	60		
GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS	13		Rejected!	
GOBP_SELENIUM_COMPOUND_METABOLIC_PROCESS	5		Rejected!	
GOBP_PLACENTA_DEVELOPMENT	135	121		
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	79	72		
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	28	26		
GOBP_TISSUE_HOMEOSTASIS	260	208		
GOBP_RETINA_HOMEOSTASIS	80	54		
GOBP_CELL_KILLING	177	90		
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	111	66		
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	79	44		
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	22		Rejected!	
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	46	23		
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	38	18		
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	9		Rejected!	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	29		Rejected!	
GOBP_REGULATION_OF_RECEPTOR_RECYCLING	23	22		
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	14		Rejected!	
GOBP_B_1_B_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION	1211		Rejected!	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	824		Rejected!	
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	191	129		
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	75	33		
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	108	82		
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	37	35		
GOBP_VASCULATURE_DEVELOPMENT	786		Rejected!	
GOBP_LYMPH_VESSEL_DEVELOPMENT	26	25		
GOBP_LYMPHANGIOGENESIS	17	16		
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	125	116		
GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION	41	37		
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	54	51		
GOBP_BLOOD_VESSEL_MATURATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	17	16		
GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	24	17		
GOBP_STARTLE_RESPONSE	23	18		
GOBP_SUCKLING_BEHAVIOR	11		Rejected!	
GOBP_BLOOD_VESSEL_REMODELING	45	37		
GOBP_RESPONSE_TO_AMPHETAMINE	30	25		
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	9		Rejected!	
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	15		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	36	26		
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	18		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	5		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE	9		Rejected!	
GOBP_RENIN_SECRETION_INTO_BLOOD_STREAM	5		Rejected!	
GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	12		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	533	492		
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	58	56		
GOBP_REGULATION_OF_BLOOD_VOLUME_BY_RENIN_ANGIOTENSIN	6		Rejected!	
GOBP_RESPONSE_TO_DIETARY_EXCESS	23	18		
GOBP_REDUCTION_OF_FOOD_INTAKE_IN_RESPONSE_TO_DIETARY_EXCESS	5		Rejected!	
GOBP_DIET_INDUCED_THERMOGENESIS	10		Rejected!	
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	26	22		
GOBP_REGULATION_OF_HEART_RATE	97	80		
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT	87	83		
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	16		Rejected!	
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	6		Rejected!	
GOBP_SPROUTING_ANGIOGENESIS	184	115		
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	93	50		
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	54	21		
GOBP_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	21	18		
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	21	21		
GOBP_CHONDROCYTE_DIFFERENTIATION	102	93		
GOBP_CHONDROCYTE_DEVELOPMENT	28	26		
GOBP_EPITHELIAL_CELL_DEVELOPMENT	207	178		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	82	61		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	39	32		
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	48	35		
GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT	25	23		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	7		Rejected!	
GOBP_EPITHELIAL_CELL_MATURATION	15		Rejected!	
GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	7		Rejected!	
GOBP_OSTEOBLAST_DEVELOPMENT	17	15		
GOBP_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	25	22		
GOBP_PROTEIN_DEPALMITOYLATION	10		Rejected!	
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	77	66		
GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	19	17		
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION	53	49		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	14		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	25	24		
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	16		Rejected!	
GOBP_TRNA_WOBBLE_BASE_MODIFICATION	21	20		
GOBP_STORE_OPERATED_CALCIUM_ENTRY	19	16		
GOBP_AGGRESSIVE_BEHAVIOR	7		Rejected!	
GOBP_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	7		Rejected!	
GOBP_REGULATION_OF_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	5		Rejected!	
GOBP_OSTEOCLAST_PROLIFERATION	8		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATION	102	93		
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	11		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	34	30		
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	75	63		
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	146	118		
GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	208	186		
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	157	139		
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	27		Rejected!	
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	67	37		
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	31	21		
GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	6		Rejected!	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	346	274		
GOBP_RESPONSE_TO_MOLECULE_OF_FUNGAL_ORIGIN	5		Rejected!	
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	161	151		
GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GOBP_LYMPHOCYTE_ANERGY	7		Rejected!	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	693	277		
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	41		Rejected!	
GOBP_IMMUNE_EFFECTOR_PROCESS	1296		Rejected!	
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	563	344		
GOBP_LYMPHOCYTE_HOMEOSTASIS	57	51		
GOBP_MYELOID_CELL_HOMEOSTASIS	145	129		
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	722		Rejected!	
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	659		Rejected!	
