NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	186	-0.1882714	-2.9756708	0.0	0.0	0.0	9656	tags=68%, list=50%, signal=134%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	144	-0.2021783	-2.8647747	0.0	0.0	0.0	6364	tags=53%, list=33%, signal=78%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	171	-0.18933877	-2.8533251	0.0	0.0	0.0	11139	tags=76%, list=57%, signal=176%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	-0.39941293	-2.772473	0.0	0.0	0.0	9475	tags=89%, list=49%, signal=172%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	177	-0.1704347	-2.6680655	0.0	6.944444E-5	0.001	7816	tags=57%, list=40%, signal=95%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	194	-0.16305324	-2.6383343	0.0	6.6287874E-5	0.001	9796	tags=66%, list=50%, signal=133%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	187	-0.1536499	-2.456077	0.0	4.3178888E-4	0.007	5675	tags=44%, list=29%, signal=62%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	188	-0.15404081	-2.4464679	0.0	4.1379768E-4	0.007	10278	tags=68%, list=53%, signal=143%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	39	-0.27483603	-2.0482676	0.0037664783	0.0054497328	0.097	7634	tags=67%, list=39%, signal=110%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	180	-0.12361535	-1.9437697	0.005952381	0.010081694	0.172	8750	tags=57%, list=45%, signal=103%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	31	-0.2836159	-1.8555007	0.014522822	0.016324224	0.275	9553	tags=77%, list=49%, signal=152%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	28	-0.27355212	-1.7360535	0.024242423	0.029485457	0.448	9277	tags=75%, list=48%, signal=143%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	33	-0.24522358	-1.7206279	0.02991453	0.030782752	0.474	5260	tags=52%, list=27%, signal=70%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	177	-0.1090563	-1.7096425	0.034951456	0.031733293	0.497	13725	tags=81%, list=71%, signal=274%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	107	-0.13351263	-1.6354148	0.03187251	0.044669986	0.632	3963	tags=34%, list=20%, signal=42%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	39	-0.21353875	-1.6029791	0.052837573	0.048880797	0.676	11318	tags=79%, list=58%, signal=190%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	80	-0.13993959	-1.4550068	0.085487075	0.091985665	0.895	13825	tags=85%, list=71%, signal=293%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	68	-0.147316	-1.4453728	0.086538464	0.09296215	0.904	7730	tags=54%, list=40%, signal=90%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	175	-0.079829864	-1.1975406	0.23421589	0.23293933	0.997	13024	tags=75%, list=67%, signal=224%	
