Sample,subtype,cell.line,source
t.S02255,POU2F3,S02255,tumor
t.S02256,POU2F3,S02256,tumor
t.S02284,ASCL1,S02284,tumor
t.S02285,ASCL1,S02285,tumor
t.S02286,POU2F3,S02286,tumor
t.S02287,ASCL1,S02287,tumor
t.S02288,POU2F3,S02288,tumor
t.S02289,ASCL1,S02289,tumor
t.S02290,ASCL1,S02290,tumor
t.S02291,ASCL1,S02291,tumor
t.S02293,NEUROD1,S02293,tumor
t.S02294,NEUROD1,S02294,tumor
t.S02295,ASCL1,S02295,tumor
t.S02296,POU2F3,S02296,tumor
t.S02297,ASCL1,S02297,tumor
t.S02298,YAP1,S02298,tumor
t.S02299,ASCL1,S02299,tumor
t.S02322,ASCL1,S02322,tumor
t.S02328,ASCL1,S02328,tumor
t.S02342,ASCL1,S02342,tumor
t.S02347,ASCL1,S02347,tumor
t.S02350,NEUROD1,S02350,tumor
t.S02351,ASCL1,S02351,tumor
t.S02352,ASCL1,S02352,tumor
t.S02353,ASCL1,S02353,tumor
t.S02354,ASCL1,S02354,tumor
t.S02360,ASCL1,S02360,tumor
t.S02375,NEUROD1,S02375,tumor
t.S02376,ASCL1,S02376,tumor
t.S02378,ASCL1,S02378,tumor
t.S02382,ASCL1,S02382,tumor
t.S02397,ASCL1,S02397,tumor
